연도(월),서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,소계
201801,,,4 ,,,,,10 ,1 ,5 ,15 ,38,16 ,19,41 ,115,22 ,286 
201802,,,,,,,,,16 ,4 ,16 ,18,99 ,24,24 ,28,3 ,232 
201803,,1,2 ,,,,7 ,,29 ,8 ,27 ,36,58 ,30,37 ,30,48 ,313 
201804,,,,,,,,1 ,4 ,7 ,7 ,56,31 ,13,103 ,54,5 ,281 
201805,,,9 ,,,,,,41 ,62 ,7 ,13,34 ,43,93 ,35,38 ,375 
201806,,,,,1 ,,18 ,2 ,60 ,13 ,,54,62 ,39,139 ,27,3 ,418 
201807,,,6 ,,1 ,,8 ,,482 ,11 ,1 ,74,30 ,30,63 ,61,4 ,771 
201808,,,,,,,5 ,22 ,53 ,2 ,9 ,40,16 ,98,103 ,38,1 ,387 
201809,,,,,,,5 ,7 ,11 ,4 ,19 ,14,7 ,14,76 ,14,8 ,179 
201810,,,,,,,3 ,,12 ,22 ,2 ,118,16 ,215,62 ,79,13 ,542 
201811,,,3 ,,,,5 ,13 ,38 ,,17 ,64,6 ,60,87 ,84,2 ,379 
201812,,,,2 ,,,3 ,,49 ,2 ,29 ,171 ,37 ,91 ,41 ,60 ,5 ,490 
201901,,,,,1 ,,,2 ,4 ,60 ,14 ,66 ,26 ,104 ,157 ,68 ,7 ,509 
201902,,,,,,,,,13 ,1 ,3 ,31 ,8 ,30 ,37 ,67 ,19 ,209 
201903,,3 ,,4 ,,,6 ,,200 ,13 ,82 ,25 ,34 ,35 ,141 ,40 ,17 ,600 
201904,,,1 ,,,,2 ,,63 ,2 ,14 ,28 ,26 ,88 ,173 ,66 ,43 ,506 
201905,,,,3 ,,,,,56 ,7 ,35 ,148 ,34 ,14 ,71 ,28 ,3 ,399 
201906,,,,,,,1 ,,144 ,9 ,54 ,18 ,32 ,105 ,135 ,24 ,5 ,527 
201907,,,1 ,2 ,,,,2 ,27 ,4 ,60 ,83 ,41 ,46 ,21 ,63 ,2 ,352 
201908,,,,,,,,,7 ,3 ,30 ,84 ,51 ,24 ,139 ,71 ,1 ,410 
201909,,,,,,,,,51 ,5 ,4 ,19 ,53 ,27 ,44 ,54 ,2 ,259 
201910,,,,9 ,,,1 ,,40 ,21 ,28 ,189 ,78 ,80 ,26 ,125 ,1 ,598 
201911,,,,,,,,,12 ,3 ,33 ,66 ,47 ,93 ,62 ,95 ,3 ,414 
201912,,,,,,,,,80 ,3 ,12 ,36 ,30 ,27 ,12 ,14 ,4 ,218 
202001,,,,,,,1 ,,56 ,,5 ,12 ,42 ,105 ,24 ,34 ,2 ,281 
202002,,,,3 ,,,,,27 ,5 ,7 ,1 ,19 ,71 ,22 ,8 ,33 ,196 
202003,,,,16 ,,,,,138 ,4 ,16 ,55 ,17 ,72 ,45 ,28 ,14 ,405 
202004,,,,1 ,,,1 ,1 ,64 ,11 ,11 ,178 ,65 ,48 ,31 ,24 ,29 ,464 
202005,,,,,,,1 ,,59 ,49 ,37 ,36 ,56 ,57 ,26 ,40 ,3 ,364 
202006,,,1 ,,,,5 ,22 ,44 ,,9 ,30 ,38 ,104 ,44 ,212 ,3 ,512 
202007,,,,,,,,3 ,6 ,3 ,5 ,20 ,49 ,115 ,28 ,148 ,3 ,380 
202008,,,,,,,,,10 ,14 ,8 ,1 ,29 ,82 ,32 ,12 ,4 ,192 
202009,,,15 ,,,,,,122 ,6 ,28 ,31 ,37 ,109 ,49 ,3 ,1 ,401 
202010,,,25 ,,,,10 ,,,51 ,4 ,94 ,,53 ,69 ,41 ,1 ,348 
202011,,,1 ,,,,,,20 ,5 ,22 ,65 ,20 ,68 ,7 ,82 ,2 ,292 
202012,,,,,,,,,1 ,28 ,2 ,2 ,4 ,58 ,13 ,60 ,1 ,169 
202101,,,22 ,2 ,,,9 ,,2 ,2 ,1 ,20 ,14 ,84 ,8 ,57 ,2 ,223 
202102,,,7 ,,,,,,4 ,9 ,2 ,26 ,3 ,116 ,37 ,15 ,14 ,233 
202103,,,,7 ,,,,2 ,13 ,1 ,12 ,3 ,23 ,43 ,15 ,32 ,31 ,182 
202104,,,5 ,,,,8 ,15 ,129 ,14 ,,16 ,12 ,115 ,109 ,70 ,18 ,511 
202105,,,10 ,1 ,,,,6 ,59 ,2 ,5 ,20 ,34 ,349 ,27 ,54 ,6 ,573 
202106,,,1 ,1 ,,,,,33 ,6 ,39 ,19 ,29 ,232 ,73 ,35 ,13 ,481 
202107,,,1 ,,,,,8 ,22 ,8 ,,9 ,6 ,206 ,31 ,8 ,,299 
202108,,1 ,,1 ,,,7 ,3 ,55 ,,29 ,57 ,3 ,181 ,7 ,55 ,,399 
202109,,,,,,,20 ,,13 ,5 ,2 ,12 ,1 ,196 ,4 ,39 ,2 ,294 
202110,,,,,,,3 ,,23 ,11 ,3 ,14 ,7 ,177 ,10 ,32 ,2 ,282 
202111,,,,,,1 ,11 ,,27 ,2 ,2 ,2 ,10 ,154 ,12 ,45 ,,266 
202112,,,6 ,,,,16 ,,33 ,9 ,4 ,10 ,11 ,147 ,6 ,40 ,,282 
202201,,,,,,,6 ,,83 ,,,24 ,35 ,57 ,15 ,56 ,6 ,282 
202202,,,10 ,,,,,,27 ,,,15 ,18 ,121 ,7 ,11 ,6 ,215 
202203,,,3 ,,,,3 ,,,18 ,7 ,7 ,3 ,255 ,9 ,108 ,15 ,428 
202204,,,,,,,,,9 ,9 ,2 ,12 ,39 ,198 ,21 ,22 ,22 ,334 
202205,,,,,,,,,10 ,5 ,8 ,30 ,33 ,89 ,20 ,83 ,14 ,292 
202206,,,,,1 ,,3 ,,27 ,2 ,26 ,33 ,3 ,120 ,7 ,11 ,3 ,236 
202207,,,,,,,,,14 ,3 ,5 ,2 ,70 ,80 ,11 ,13 ,3 ,201 
202208,,,,,,,,,,4 ,10 ,11 ,1 ,96 ,7 ,98 ,4 ,231 
202209,,,,,,,3 ,,16 ,1 ,41 ,5 ,8 ,33 ,15 ,80 ,1 ,203 
202210,,,,,,,,,2 ,24 ,,11 ,22 ,42 ,12 ,19 ,3 ,135 
202211,,,,,,,,,19 ,9 ,43 ,51 ,19 ,49 ,7 ,22 ,3 ,222 
202212,,,,,,,,,7 ,24 ,37 ,5 ,7 ,172 ,6 ,129 ,1 ,388 
202301,,,,,,,,,9 ,2 ,,10 ,3 ,74 ,12 ,14 ,3 ,127 
202302,,,,,,,,,7 ,1 ,57 ,4 ,5 ,46 ,20 ,52 ,3 ,195 
202303,,,,,,,,,21 ,10 ,2 ,28 ,25 ,96 ,23 ,58 ,21 ,284 
202304,,,5 ,,,,,,,3 ,27 ,19 ,49 ,41 ,6 ,37 ,30 ,217 
202305,,,3 ,,,,,,,3 ,1 ,,1 ,,8 ,188 ,,204 
202306,,,,,,,,,,,,,1 ,8 ,,14 ,,23 
