대권역,중권역,총계,한우(두)_소계,한우(두)_허가,한우(두)_신고,한우(두)_신고미만,젖소(두)_소계,젖소(두)_허가,젖소(두)_신고,젖소(두)_신고미만,돼지(두)_소계,돼지(두)_허가,돼지(두)_신고,돼지(두)_신고미만,닭(두)_소계,닭(두)_허가,닭(두)_신고,닭(두)_신고미만,말(두)_소계,말(두)_허가,말(두)_신고,말(두)_신고미만,산양_염소(두)_소계,산양_염소(두)_허가,산양_염소(두)_신고,산양_염소(두)_신고미만,면양_육양(두)_소계,면양_육양(두)_허가,면양_육양(두)_신고,면양_육양(두)_신고미만,사슴(두)_소계,사슴(두)_허가,사슴(두)_신고,사슴(두)_신고미만,개(두)_소계,개(두)_허가,개(두)_신고,개(두)_신고미만,오리(두)_소계,오리(두)_허가,오리(두)_신고,오리(두)_신고미만,타조(두)_소계,타조(두)_허가,타조(두)_신고,타조(두)_신고미만,가금기타(두)_소계,가금기타(두)_허가,가금기타(두)_신고,가금기타(두)_신고미만
한강,남한강상류,54755,17381,7915,5601,3865,480,430,50,0,3638,3429,30,179,25906,0,18920,6986,100,100,0,0,1551,0,682,869,1103,0,1072,31,403,0,380,23,3912,0,2300,1612,177,0,0,177,0,0,0,0,104,0,0,104
한강,평창강,417766,28688,14350,10530,3808,2512,1999,513,0,62984,59369,3327,288,311660,11500,287392,12768,73,30,0,43,2547,0,705,1842,0,0,0,0,297,0,76,221,6527,0,3447,3080,2329,0,2000,329,0,0,0,0,149,0,0,149
한강,충주댐,1970760,20477,8159,10443,1875,682,388,281,13,30646,26205,4416,25,1902867,0,1873687,29180,33,20,0,13,3447,0,594,2853,0,0,0,0,270,0,53,217,12077,0,10252,1825,254,0,100,154,0,0,0,0,7,0,0,7
한강,달천,5277812,39273,15726,17259,6288,3490,2623,592,275,114593,106081,8055,457,4940293,509256,4231926,199111,37,0,0,37,9623,0,2117,7506,0,0,0,0,524,0,123,401,27527,0,16199,11328,76871,0,46300,30571,0,0,0,0,65581,0,60000,5581
한강,충주댐하류,2767846,9513,3577,5065,871,972,533,437,2,49004,45870,2634,500,2669150,1406476,1249200,13474,0,0,0,0,1584,0,964,620,0,0,0,0,863,0,863,0,7500,0,7500,0,29260,12000,17260,0,0,0,0,0,0,0,0,0
한강,섬강,2819236,49104,21545,22312,5247,4561,2286,2130,145,96035,81716,13025,1294,1924777,650000,1220640,54137,68,24,43,1,1261,0,50,1211,40,0,0,40,164,0,58,106,15062,0,14608,454,350,0,0,350,0,0,0,0,727814,0,518500,209314
한강,남한강하류,12661334,88693,38979,38092,11622,46403,28421,15463,2519,798449,674382,98086,25981,10569905,461309,8812010,1296586,1044,507,320,217,3077,0,30,3047,761,0,0,761,1694,8,533,1153,82831,3,67373,15455,381500,0,310528,70972,1,0,0,1,686976,0,150000,536976
한강,평화의댐,26614,240,133,51,56,0,0,0,0,0,0,0,0,26062,0,26000,62,0,0,0,0,250,0,150,100,0,0,0,0,7,0,0,7,55,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
한강,춘천댐,1492087,14906,2285,11150,1471,364,227,137,0,35969,13156,22566,247,1407281,0,1359341,47940,8,0,0,8,796,0,350,446,0,0,0,0,313,0,90,223,4296,0,1461,2835,28058,0,28000,58,0,0,0,0,96,0,0,96
한강,인북천,85184,5672,1850,1512,2310,0,0,0,0,376,0,273,103,76640,0,24890,51750,14,0,14,0,68,0,0,68,0,0,0,0,58,0,0,58,2256,0,2256,0,0,0,0,0,0,0,0,0,100,0,0,100
한강,소양강,532768,13844,4989,4795,4060,71,0,40,31,9018,3991,75,4952,504963,0,294419,210544,87,55,32,0,1880,0,250,1630,530,0,0,530,199,0,0,199,2059,0,1740,319,79,0,0,79,0,0,0,0,38,0,0,38
한강,의암댐,964441,10730,3172,5485,2073,877,498,145,234,14571,14036,530,5,923685,0,587015,336670,32,0,25,7,311,0,1,310,0,0,0,0,137,0,0,137,3883,0,1054,2829,6,0,0,6,9,0,0,9,10200,0,0,10200
한강,홍천강,1516415,26704,6417,17679,2608,2757,1423,1327,7,55563,52620,2943,0,1397658,80000,1165708,151950,96,60,36,0,1891,0,1630,261,0,0,0,0,106,0,45,61,2340,0,2205,135,29300,0,29300,0,0,0,0,0,0,0,0,0
한강,청평댐,1240938,6052,1325,2623,2104,4525,1208,1662,1655,8723,6486,2237,0,1209900,0,526495,683405,52,0,26,26,382,0,0,382,170,0,0,170,443,0,27,416,10661,0,1126,9535,30,0,0,30,0,0,0,0,0,0,0,0
한강,경안천,1098912,5845,813,4228,804,1417,0,1311,106,62408,52414,9956,38,913803,0,855628,58175,125,7,80,38,402,0,0,402,0,0,0,0,304,0,0,304,11496,0,3076,8420,83,0,0,83,0,0,0,0,103029,0,0,103029
한강,팔당댐,409,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0
한강,한강서울,328848,11195,506,7944,2745,3691,390,2449,852,4544,0,2472,2072,280922,0,239966,40956,2000,1575,262,163,487,0,218,269,0,0,0,0,697,0,303,394,25062,0,9174,15888,104,0,0,104,1,0,0,1,145,0,0,145
한강,한강고양,1271806,13313,4626,6549,2138,9113,3195,4606,1312,25252,19019,5775,458,1175985,0,984151,191834,437,0,430,7,256,0,244,12,0,0,0,0,166,0,1,165,10404,0,10404,0,34780,0,31500,3280,100,0,0,100,2000,0,2000,0
한강,임진강상류,681832,2002,830,925,247,1658,552,1106,0,32435,22698,7737,2000,643170,150000,485110,8060,0,0,0,0,93,0,0,93,10,0,0,10,54,0,0,54,2400,0,2400,0,10,0,0,10,0,0,0,0,0,0,0,0
한강,한탄강,14049273,38623,11517,14690,12416,39137,16454,14533,8150,579536,380874,134126,64536,13005270,3760870,6649271,2595129,93,35,41,17,1339,0,200,1139,10,0,0,10,628,0,136,492,40598,0,26140,14458,94034,8000,47783,38251,0,0,0,0,250005,0,250000,5
한강,임진강하류,2732405,12110,4528,5042,2540,17974,7771,7339,2864,110859,69979,35578,5302,2355772,290000,1300219,765553,63,0,55,8,377,0,0,377,0,0,0,0,140,0,0,140,6560,0,5400,1160,58550,0,56000,2550,0,0,0,0,170000,0,0,170000
한강,한강하류,60192,2037,1150,887,0,806,459,347,0,5826,5826,0,0,49235,0,49235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288,0,2288,0,0,0,0,0,0,0,0,0,0,0,0,0
한강,안성천,11305204,161519,102051,55986,3482,39958,22775,15031,2152,447736,278650,100709,68377,9499851,295000,8626991,577860,411,38,355,18,350,0,156,194,0,0,0,0,500,0,231,269,29325,0,27580,1745,943322,0,943255,67,0,0,0,0,182232,0,0,182232
한강,한강서해,2688507,29292,12803,16241,248,3747,1603,2144,0,87278,55467,31801,10,2279029,48,2278680,301,161,0,151,10,0,0,0,0,0,0,0,0,59,0,30,29,28609,0,28599,10,159,0,0,159,0,0,0,0,260173,0,0,260173
한강,시화호,6801854,32881,8443,16222,8216,33209,9507,11509,12193,155012,91720,59296,3996,6476176,444056,3630799,2401321,1374,560,814,0,20,0,20,0,0,0,0,0,90,0,50,40,20071,0,20071,0,83021,0,83021,0,0,0,0,0,0,0,0,0
한강,양양남대천,154001,10754,2360,6724,1670,0,0,0,0,26909,24043,2866,0,115492,14500,100600,392,17,0,9,8,214,0,0,214,30,0,30,0,126,0,90,36,79,0,0,79,380,0,350,30,0,0,0,0,0,0,0,0
한강,강릉남대천,298348,8287,1018,6093,1176,926,0,778,148,72804,68934,3800,70,212227,0,208500,3727,50,50,0,0,281,0,0,281,0,0,0,0,127,0,105,22,3646,0,3646,0,0,0,0,0,0,0,0,0,0,0,0,0
한강,삼척오십천,665432,10261,2386,6502,1373,0,0,0,0,2402,1250,995,157,649693,462000,182020,5673,32,0,21,11,836,0,0,836,0,0,0,0,425,0,0,425,1634,0,750,884,113,0,0,113,0,0,0,0,36,0,0,36
낙동강,안동댐,591869,14574,9265,4460,849,168,104,40,24,36497,31750,4557,190,537065,0,510945,26120,15,0,0,15,1374,0,3,1371,0,0,0,0,354,0,0,354,1396,0,700,696,154,0,0,154,0,0,0,0,272,0,4,268
낙동강,임하댐,381035,15612,6299,8345,968,1211,960,251,0,18801,16770,2001,30,333894,0,325742,8152,10,0,8,2,2135,0,875,1260,0,0,0,0,78,0,30,48,9294,0,8588,706,0,0,0,0,0,0,0,0,0,0,0,0
낙동강,안동댐하류,468640,37790,14103,19005,4682,92,0,84,8,72385,50400,21547,438,352155,0,297566,54589,3,0,0,3,1398,0,20,1378,0,0,0,0,54,0,0,54,4733,0,4541,192,0,0,0,0,0,0,0,0,30,0,0,30
낙동강,내성천,7010203,105717,35356,52211,18150,2301,811,1314,176,144475,124433,19907,135,6603330,393039,5958826,251465,67,0,36,31,7446,0,80,7366,0,0,0,0,631,0,29,602,6916,0,866,6050,138900,7463,87030,44407,0,0,0,0,420,0,5,415
낙동강,영강,1191044,25726,12037,10583,3106,3902,2575,865,462,40049,26492,13557,0,1106294,120000,944733,41561,42,0,13,29,1369,0,899,470,0,0,0,0,113,0,0,113,1444,0,1116,328,12000,0,12000,0,0,0,0,0,105,0,0,105
낙동강,병성천,2036653,38578,15695,18850,4033,1126,792,334,0,33024,13558,19466,0,1720384,125000,1580250,15134,5,0,0,5,572,0,0,572,0,0,0,0,40,0,0,40,2661,0,2127,534,0,0,0,0,0,0,0,0,240263,0,240000,263
낙동강,낙동상주,1277816,23264,7315,12076,3873,148,109,37,2,22884,17950,4934,0,1231131,416968,718035,96128,2,0,0,2,187,0,0,187,0,0,0,0,4,0,0,4,181,0,0,181,5,0,0,5,0,0,0,0,10,0,0,10
낙동강,위천,4571571,36173,7381,16345,12447,1492,765,597,130,173160,132315,14337,26508,4348468,185000,4000900,162568,9,0,3,6,1164,0,67,1097,0,0,0,0,453,0,422,31,276,0,0,276,47,0,0,47,0,0,0,0,10329,0,0,10329
낙동강,낙동구미,201030,10953,829,6576,3548,183,0,124,59,19420,14377,5039,4,170000,100000,70000,0,50,50,0,0,20,0,0,20,0,0,0,0,0,0,0,0,404,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0
낙동강,감천,1584802,31724,13186,14001,4537,2712,1137,1559,16,51844,41346,10498,0,1476675,0,1476675,0,24,0,24,0,134,0,130,4,0,0,0,0,30,0,0,30,12659,0,12659,0,9000,0,9000,0,0,0,0,0,0,0,0,0
낙동강,낙동왜관,2189666,38936,9153,22273,7510,1428,312,996,120,136566,112457,24048,61,1698915,50000,1606770,42145,146,0,146,0,4004,0,725,3279,0,0,0,0,224,0,90,134,6931,0,6291,640,2492,0,2000,492,0,0,0,0,300024,0,0,300024
낙동강,금호강,2445285,77368,9347,53136,14885,6078,1375,4499,204,273982,153753,120036,193,1342076,79500,1239165,23411,75,0,61,14,2742,0,155,2587,0,0,0,0,124,0,82,42,4732,0,4454,278,4316,0,3480,836,0,0,0,0,733792,0,310383,423409
낙동강,회천,514994,26580,8932,11455,6193,636,147,343,146,205802,184488,20472,842,257342,0,254978,2364,0,0,0,0,2142,0,18,2124,0,0,0,0,1,0,0,1,2608,0,2241,367,18061,0,18000,61,0,0,0,0,1822,0,0,1822
낙동강,낙동고령,513266,15113,2104,9125,3884,1705,985,672,48,19897,11515,8353,29,414664,0,413950,714,86,85,0,1,72,0,0,72,0,0,0,0,17,0,0,17,1112,0,500,612,60600,0,60600,0,0,0,0,0,0,0,0,0
낙동강,합천댐,1971220,32135,16499,14761,875,701,571,130,0,59161,48360,10801,0,1604000,0,1604000,0,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,250,950,274000,0,274000,0,0,0,0,0,0,0,0,0
낙동강,황강,674752,18104,7366,9547,1191,120,0,120,0,37335,32047,5288,0,617562,0,617562,0,36,0,36,0,6,0,0,6,0,0,0,0,0,0,0,0,1589,0,1589,0,0,0,0,0,0,0,0,0,0,0,0,0
낙동강,낙동창녕,2463150,18473,3839,8989,5645,1149,732,374,43,62735,54094,8608,33,2330427,85000,2134120,111307,16,10,0,6,923,0,358,565,0,0,0,0,119,0,13,106,2404,0,1323,1081,37500,0,37500,0,0,0,0,0,9404,0,0,9404
낙동강,남강댐,3064341,46261,20078,19414,6769,3345,2516,765,64,227983,205105,22117,761,2159613,2038,2073389,84186,162,107,14,41,6232,454,606,5172,0,0,0,0,411,0,71,340,8027,0,679,7348,341564,0,281889,59675,2,0,0,2,270741,0,0,270741
